frame_idx,pc_prob_0,pc_prob_1,pc_prob_2,mcu_prob_0,mcu_prob_1,mcu_prob_2,abs_err_0,abs_err_1,abs_err_2,frame_max_abs_err,pc_pred_id,pc_pred_label,mcu_pred_id,mcu_pred_label,pred_match
10,0.0017594612436369,0.0010564548429101,0.9971840977668762,0.0017594614764675,0.0010564548429101,0.9971840977668762,2.3283064365386963e-10,0.0,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
11,0.0016255328664556,0.0009314477792941,0.9974429607391356,0.0016255324007943,0.0009314474300481,0.9974430799484252,4.656612873077393e-10,3.4924596548080444e-10,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
12,0.0009068592917174,0.0001254575181519,0.9989676475524902,0.0009068592917174,0.0001254575036,0.9989676475524902,0.0,1.4551915228366852e-11,0.0,1.4551915228366852e-11,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
13,0.0009400793933309,0.0001326982892351,0.9989272952079772,0.0009400788112543,0.0001326982892351,0.9989271759986876,5.820766091346741e-10,0.0,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
14,0.0019690080080181,0.0004298426501918,0.9976012110710144,0.0019690080080181,0.0004298428830225,0.9976012110710144,0.0,2.3283064365386963e-10,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
15,0.0022388661745935,0.0005272575072012,0.9972339272499084,0.0022388664074242,0.0005272575072012,0.9972339272499084,2.3283064365386963e-10,0.0,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
16,0.0022388661745935,0.0005272575072012,0.9972339272499084,0.0022388664074242,0.0005272575072012,0.9972339272499084,2.3283064365386963e-10,0.0,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
17,0.0015690958825871,0.0002995925897266,0.9981313347816468,0.0015690959990024,0.0002995926188305,0.9981313347816468,1.1641532182693479e-10,2.9103830456733704e-11,0.0,1.1641532182693479e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
18,0.0015490694204345,0.0002935426018666,0.9981573224067688,0.0015490689547732,0.0002935423981398,0.9981574416160583,4.656612873077393e-10,2.0372681319713595e-10,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
19,0.0027891045901924,0.0125580877065658,0.984652817249298,0.0027891043573617,0.0125580765306949,0.984652817249298,2.3283064365386963e-10,1.1175870895385742e-08,0.0,1.1175870895385742e-08,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
